Time [s],Coolant Temp [F],Engine Speed [RPM],Exhaust Gas Temp [F] 
42.902831,125.60000000000001,2777.76993,-
42.910346,125.60000000000001,2786.36379,-
42.921644,125.60000000000001,2774.2542599999997,-
42.93292,125.60000000000001,2746.91016,-
42.946576,125.60000000000001,2745.34764,-
42.950355,125.60000000000001,2743.78512,-
42.960976,125.60000000000001,2723.4723599999998,-
42.974763,125.60000000000001,2693.00322,-
42.982437,125.60000000000001,2666.44038,-
42.993386,125.60000000000001,2688.7062899999996,-
42.993467,-,-,1436.437255859375
43.000873,125.60000000000001,2693.00322,-
43.012172,125.60000000000001,2678.15928,-
43.019682,125.60000000000001,2646.5182499999996,-
43.030996,125.60000000000001,2666.83101,-
43.04896,125.60000000000001,2696.12826,-
43.052696,125.60000000000001,2700.81582,-
43.060257,125.60000000000001,2688.3156599999998,-
43.071549,125.60000000000001,2677.76865,-
43.082799,125.60000000000001,2707.0659,-
43.090314,125.60000000000001,2718.7848,-
43.112589,125.60000000000001,2678.15928,-
43.120033,125.60000000000001,2701.98771,-
43.131322,125.60000000000001,2714.8785,-
43.152514,125.60000000000001,2709.8003099999996,-
43.160054,125.60000000000001,2667.6122699999996,-
43.17135,125.60000000000001,2672.69046,-
43.182662,125.60000000000001,2664.0966,-
43.190145,125.60000000000001,2635.97124,-
43.193952,-,-,1436.437255859375
43.201177,125.60000000000001,2597.6895,-
43.212443,125.60000000000001,2618.78352,-
43.230985,125.60000000000001,2659.79967,-
43.24195,125.60000000000001,2648.86203,-
43.261548,125.60000000000001,2714.8785,-
43.272837,125.60000000000001,2756.28528,-
43.280376,125.60000000000001,2763.70725,-
43.291359,125.60000000000001,2757.4571699999997,-
43.302682,125.60000000000001,2760.1915799999997,-
43.310208,125.60000000000001,2748.47268,-
43.321519,125.60000000000001,2722.3004699999997,-
43.332775,125.60000000000001,2687.5344,-
43.362087,125.60000000000001,2760.58221,-
43.369623,125.60000000000001,2782.45749,-
43.38092,125.60000000000001,2787.1450499999996,-
43.398755,-,-,1436.437255859375
43.402527,125.60000000000001,2857.4584499999996,-
43.413953,125.60000000000001,2854.3334099999997,-
43.421132,125.60000000000001,2844.17703,-
43.432421,125.60000000000001,2859.02097,-
43.439939,125.60000000000001,2859.4116,-
43.451266,125.60000000000001,2837.92695,-
43.471355,125.60000000000001,2830.11435,-
43.482669,125.60000000000001,2844.5676599999997,-
43.490157,125.60000000000001,2831.28624,-
43.501443,125.60000000000001,2804.7234,-
43.51277,125.60000000000001,2826.59868,-
43.520242,125.60000000000001,2855.5053,-
43.531532,125.60000000000001,2851.98963,-
43.542829,125.60000000000001,2839.0988399999997,-
43.550373,125.60000000000001,2834.41128,-
43.573365,125.60000000000001,2843.3957699999996,-
43.592206,125.60000000000001,2776.59804,-
43.599703,125.60000000000001,2777.3793,-
43.599739,-,-,1436.437255859375
43.610747,125.60000000000001,2755.8946499999997,-
43.622045,125.60000000000001,2727.7692899999997,-
43.629548,125.60000000000001,2681.2843199999998,-
43.640824,125.60000000000001,2703.9408599999997,-
43.652056,125.60000000000001,2737.14441,-
43.659627,125.60000000000001,2746.1288999999997,-
43.679691,125.60000000000001,2735.58189,-
43.679737,125.60000000000001,2728.15992,-
43.691047,125.60000000000001,2760.58221,-
43.709776,125.60000000000001,2751.5977199999998,-
43.721092,125.60000000000001,2732.45685,-
43.732334,125.60000000000001,2758.6290599999998,-
43.739842,125.60000000000001,2766.83229,-
43.762078,125.60000000000001,2723.4723599999998,-
43.769652,125.60000000000001,2734.01937,-
43.792156,125.60000000000001,2759.41032,-
43.799776,125.60000000000001,2741.05071,-
43.799812,-,-,1436.437255859375
43.810759,125.60000000000001,2725.42551,-
43.822287,125.60000000000001,2741.8319699999997,-
43.832837,125.60000000000001,2743.78512,-
43.841348,125.60000000000001,2723.08173,-
43.852679,125.60000000000001,2688.3156599999998,-
43.859897,125.60000000000001,2695.3469999999998,-
43.871225,125.60000000000001,2700.42519,-
43.883458,125.60000000000001,2687.1437699999997,-
43.890939,125.60000000000001,2660.1902999999998,-
43.902235,125.60000000000001,2632.8462,-
43.949473,125.60000000000001,2643.00258,-
43.960717,125.60000000000001,2683.23747,-
43.972016,125.60000000000001,2710.58157,-
43.987735,125.60000000000001,2715.2691299999997,-
43.991495,125.60000000000001,2716.05039,-
44.002738,125.60000000000001,2740.6600799999997,-
44.002805,-,-,1436.437255859375
44.010265,125.60000000000001,2743.3944899999997,-
44.021504,125.60000000000001,2732.45685,-
44.032757,125.60000000000001,2704.33149,-
44.040273,125.60000000000001,2726.98803,-
44.051241,127.4,2742.61323,-
44.062236,127.4,2730.11307,-
44.069738,127.4,2710.19094,-
44.091494,127.4,2709.4096799999998,-
44.102693,127.4,2733.6287399999997,-
44.141274,127.4,2735.97252,-
44.152212,125.60000000000001,2723.8629899999996,-
44.159808,125.60000000000001,2695.7376299999996,-
44.171066,125.60000000000001,2716.05039,-
44.190639,125.60000000000001,2744.5663799999998,-
44.201589,125.60000000000001,2728.55055,-
44.205442,-,-,1436.437255859375
44.212848,125.60000000000001,2712.14409,-
44.220328,125.60000000000001,2723.08173,-
44.231645,125.60000000000001,2713.31598,-
44.242846,125.60000000000001,2695.7376299999996,-
44.250381,125.60000000000001,2657.84652,-
44.261574,125.60000000000001,2685.5812499999997,-
44.27284,125.60000000000001,2703.55023,-
44.310947,125.60000000000001,2701.2064499999997,-
44.332673,125.60000000000001,2671.12794,-
44.340222,125.60000000000001,2635.58061,-
44.362,125.60000000000001,2673.0810899999997,-
44.373887,125.60000000000001,2668.0029,-
44.381496,125.60000000000001,2649.2526599999997,-
44.392702,125.60000000000001,2636.3618699999997,-
44.40023,125.60000000000001,2675.8154999999997,-
44.407758,-,-,1436.437255859375
44.411523,125.60000000000001,2693.39385,-
44.427945,125.60000000000001,2689.48755,-
44.431622,125.60000000000001,2666.83101,-
44.4426,125.60000000000001,2698.4720399999997,-
44.450156,125.60000000000001,2719.95669,-
44.461138,125.60000000000001,2712.14409,-
44.472084,125.60000000000001,2695.3469999999998,-
44.504816,125.60000000000001,2698.86267,-
44.512301,125.60000000000001,2718.7848,-
44.534527,125.60000000000001,2703.1596,-
44.541977,125.60000000000001,2742.61323,-
44.553246,125.60000000000001,2730.8943299999996,-
44.560762,125.60000000000001,2703.9408599999997,-
44.572019,125.60000000000001,2715.2691299999997,-
44.583171,125.60000000000001,2729.3318099999997,-
44.601967,125.60000000000001,2700.81582,-
44.609431,-,-,1436.437255859375
44.613154,125.60000000000001,2693.39385,-
44.620666,125.60000000000001,2747.30079,-
44.63813,125.60000000000001,2779.33245,-
44.641896,125.60000000000001,2780.50434,-
44.65317,125.60000000000001,2774.64489,-
44.660377,125.60000000000001,2812.1453699999997,-
44.701871,125.60000000000001,2828.55183,-
44.713155,125.60000000000001,2845.73955,-
44.720652,125.60000000000001,2835.9737999999998,-
44.744472,125.60000000000001,2809.80159,-
44.751947,125.60000000000001,2831.28624,-
44.770722,125.60000000000001,2799.6452099999997,-
44.78192,125.60000000000001,2790.66072,-
44.793218,125.60000000000001,2842.22388,-
44.800694,125.60000000000001,2859.02097,-
44.811998,125.60000000000001,2855.8959299999997,-
44.812065,-,-,1436.437255859375
44.822997,125.60000000000001,2849.64585,-
44.848431,125.60000000000001,2886.36507,-
44.881787,125.60000000000001,2878.1618399999998,-
44.893126,125.60000000000001,2841.05199,-
44.903402,125.60000000000001,2807.45781,-
44.911068,125.60000000000001,2807.06718,-
44.922133,125.60000000000001,2808.6297,-
44.929822,125.60000000000001,2793.7857599999998,-
44.951246,125.60000000000001,2765.6603999999998,-
44.962477,125.60000000000001,2767.61355,-
44.969973,127.4,2767.61355,-
44.981279,127.4,2755.50402,-
44.992493,127.4,2724.64425,-
45.000014,127.4,2732.45685,-
45.011254,127.4,2728.55055,-
45.015085,-,-,1436.437255859375
45.022539,125.60000000000001,2706.6752699999997,-
45.060768,125.60000000000001,2675.8154999999997,-
45.082494,125.60000000000001,2742.2226,-
45.090052,125.60000000000001,2775.8167799999997,-
45.101291,125.60000000000001,2791.44198,-
45.112563,125.60000000000001,2782.06686,-
45.131374,127.4,2781.2855999999997,-
45.142632,127.4,2791.0513499999997,-
45.150127,127.4,2776.59804,-
45.161085,127.4,2756.28528,-
45.176477,127.4,2749.25394,-
45.180285,127.4,2766.0510299999996,-
45.202795,127.4,2739.87882,-
