LOGNAME,1283748,0028.csv
VER,1283752,3
MSG,1308409,CAN init done
MSG,1321400,I2C init done
MSG,acc_mag found
ERR,am whoami,0
MSG,1349400,Sending CAN test message
CAN,1980650,1,01F0A005,000000000000000E
CAN,1983140,1,01F0A020,0000000000000000
CAN,1983478,1,01F0A010,0000000000323200
CAN,1983799,1,01F0A022,0000000000000000
CAN,1984102,1,01F0A011,0000000000000000
CAN,1984415,1,01F0A012,0649000000003200
CAN,1987281,1,0C001000,012B000000000000
CAN,1988113,1,0C201000,0141000000000000
CAN,1988706,1,0C301000,0160000000000000
CAN,1989680,1,01F0A000,00004596024C1628
CAN,1990008,1,01F0A003,8114000000300420
CAN,1990333,1,01F0A004,03D2000100000100
CAN,1990655,1,01F0A005,000000000000000E
CAN,1991061,1,01F0A006,0080000000008000
CAN,1991386,1,01F0A007,FFFF00CC00320A00
CAN,1991724,1,01F0A009,0000800103E80000
CAN,2048404,1,0C101000,0142000000000000
CAN,2048416,1,0C001000,012C000000000000
CAN,2048429,1,0C201000,0144000000000000
CAN,2048441,1,0C301000,0160000000000000
ACC,2049932,30256,-163968,1000400
GYR,2050902,765,976,-414
CAN,2050915,1,01F0A000,0000455802541728
CAN,2050927,1,01F0A003,8114000000300423
CAN,2050939,1,01F0A004,03CE000100000100
CAN,2050952,1,01F0A005,000000000000000E
EGT,2052059,17.94
CAN,2052072,1,01F0A006,0080000000008000
CAN,2052085,1,0C201000,0141000000000000
CAN,2052097,1,01F0A007,FFFF00CC00320A00
CAN,2052328,1,01F0A009,0000800103E80000
CAN,2052914,1,0C301000,015F000000000000
CAN,2055172,1,01F0A020,0000000000000000
CAN,2055572,1,01F0A010,0000000000323200
CAN,2055891,1,000A0630,FFFFFFFF00000000
CAN,2056194,1,01F0A022,0000000000000000
CAN,2056503,1,01F0A011,0000000000000000
CAN,2056819,1,01F0A012,0649000000003200
CAN,2059686,1,01F0A000,0000455B02581728
CAN,2060012,1,01F0A003,8114000000300423
CAN,2060306,1,0C305000,0100000000000000
CAN,2060596,1,01F0A004,03CF000100000100
CAN,2061052,1,0C307000,0100000000000000
CAN,2061347,1,01F0A005,000000000000000E
CAN,2061643,1,0C101000,0142000000000000
CAN,2061939,1,0C001000,012B000000000000
CAN,2062234,1,0C205000,0100000000000000
CAN,2062510,1,0C308000,FFFFEA7E878A30DF
CAN,2062808,1,0C005000,0100000000000000
CAN,2063103,1,0C207000,0100000000000000
CAN,2063477,1,0C301000,0161000000000000
CAN,2063775,1,0C007000,0100000000000000
CAN,2064055,1,0C208000,FFFF6D7DFBB6D5C4
CAN,2064338,1,0C008000,FFFF7DFAB9856DDF
CAN,2064633,1,0C201000,0141000000000000
CAN,2067198,1,01F0A00B,03E8000000003200
CAN,2067580,1,01F0A00D,0012E10000032400
CAN,2067887,1,000A0620,0000000000000000
ACC,2069064,29280,-162016,1004792
GYR,2070034,-875,-1234,93
CAN,2070047,1,01F0A00A,6464646464640000
CAN,2070059,1,01F0A000,0000454D02491728
CAN,2070071,1,01F0A003,8114000000300423
CAN,2070337,1,01F0A004,03CE000100000100
CAN,2070658,1,01F0A005,000000000000000E
CAN,2071141,1,01F0A006,0080000000008000
CAN,2071485,1,01F0A007,FFFF00CC00320A00
CAN,2071828,1,01F0A009,0000800103E80000
CAN,2072494,1,0C001000,012C000000000000
CAN,2074025,1,0C301000,015F000000000000
CAN,2075189,1,0C201000,0140000000000000
CAN,2079010,1,01F0A020,0000000000000000
CAN,2079120,1,01F0A010,0000000000323200
CAN,2079442,1,01F0A022,0000000000000000
CAN,2080184,1,01F0A000,00004544023D1728
CAN,2080519,1,01F0A011,0000000000000000
CAN,2080835,1,01F0A003,8114000000300423
CAN,2081168,1,01F0A012,0649000000003200
CAN,2081467,1,01F0A004,03CD000100000100
CAN,2081789,1,01F0A005,000000000000000E
CAN,2082810,1,0C101000,0142000000000000
CAN,2083109,1,0C001000,012A000000000000
CAN,2084583,1,0C301000,015F000000000000
CAN,2085747,1,0C201000,0140000000000000
CAN,2089690,1,01F0A000,0000457B023D1628
CAN,2091067,1,01F0A003,8114000000300426
CAN,2091461,1,01F0A004,03D0000100000100
CAN,2091782,1,01F0A005,000000000000000E
CAN,2092111,1,01F0A006,0080000000008000
CAN,2092441,1,01F0A007,FFFF00CC00320A00
CAN,2092779,1,01F0A009,0000800103E80000
CAN,2093652,1,0C001000,012D000000000000
CAN,2095144,1,0C301000,0161000000000000
CAN,2096304,1,0C201000,0141000000000000
CAN,2099694,1,01F0A000,00004577023F1628
CAN,2100009,1,01F0A003,8114000000300426
CAN,2100333,1,01F0A004,03D0000100000100
CAN,2100654,1,01F0A005,000000000000000E
CAN,2103218,1,01F0A020,0000000000000000
CAN,2103548,1,01F0A010,0000000000323200
CAN,2103872,1,000A0630,FFFFFFFF00000000
CAN,2104168,1,0C101000,0142000000000000
CAN,2104464,1,01F0A022,0000000000000000
CAN,2104759,1,0C001000,012B000000000000
CAN,2105053,1,01F0A011,0000000000000000
CAN,2105368,1,01F0A012,0649000000003200
CAN,2105690,1,0C301000,0161000000000000
CAN,2106850,1,0C201000,0144000000000000
